topology,seed,dimensions,peaks,hv,gap,set_resolution,n_relevant_sets,n_points_nondominated,xmax,xmin
funnel,2,10,64,0.4911138447608429,3.9337914241710514e-5,32768,6,19546,0.9368280295556924,0.004397127732273384
funnel,2,10,128,0.5032916328104309,3.84790471366081e-5,32768,7,20292,0.821321565212432,0.006543991239345188
funnel,3,2,1,0.4981574589094137,3.769817200516279e-5,32768,1,16384,0.7081478226181047,0.43593378885993905
funnel,3,2,2,0.6403308497807828,6.291358545518211e-5,16384,2,10288,0.7081478226181047,0.43593378885993905
funnel,3,2,4,0.7227578366837448,3.686383137746496e-5,16384,4,11849,0.7081478226181047,0.43593378885993905
funnel,3,2,8,0.7289773171063958,3.852827461148234e-5,16384,4,11849,0.7081478226181047,0.43593378885993905
funnel,3,2,16,0.8429139663925254,5.6096834727181744e-5,4096,7,5365,0.7124033703101544,0.3753037900079774
funnel,3,2,32,0.9687091842589637,7.129076713519034e-5,256,6,417,0.7736311612888503,0.43593378885993905
funnel,3,2,64,0.9598271396207314,5.603908879514563e-5,256,7,640,0.7081478226181047,0.43593378885993905
funnel,3,2,128,0.9658489180939119,8.66554732051883e-5,256,10,730,0.7081478226181047,0.43593378885993905
funnel,3,3,1,0.46994401661159263,3.630557719352945e-5,32768,1,16384,0.7081478226181049,0.016869993891598267
funnel,3,3,2,0.4496358840070745,2.769646791755953e-5,32768,3,25450,0.7081478226181049,0.016869993891598267
funnel,3,3,4,0.7262071229281329,6.080594683366414e-5,8192,3,5482,0.7081478226181049,0.016869993891598267
funnel,3,3,8,0.8194946574510503,5.261519044663654e-5,8192,4,5548,0.7081478226181049,0.016869993891598267
funnel,3,3,16,0.8333277322369891,5.7522266359910645e-5,8192,4,6500,0.7573552364039953,0.01369726381338243
funnel,3,3,32,0.9397328398639826,5.440815617618888e-5,4096,5,2553,0.7573552364039953,0.016869993891598267
funnel,3,3,64,0.9290540372343852,6.258700429961905e-5,4096,7,3425,0.7573552364039953,0.016869993891598267
funnel,3,3,128,0.9670960535540056,5.0130486152877296e-5,1024,7,1332,0.778892081450511,0.016869993891598267
funnel,3,5,1,0.25558667124824475,1.9679435249775334e-5,65536,1,32768,0.8949781010553474,0.016869993891598132
funnel,3,5,2,0.4224639596859593,4.127021793098873e-5,32768,2,16793,0.8949781010553474,0.016869993891598132
funnel,3,5,4,0.4224639596859593,4.127021793098873e-5,32768,2,16793,0.8949781010553474,0.016869993891598132
funnel,3,5,8,0.8375586480283672,5.509060838515545e-5,16384,2,8719,0.8949781010553474,0.016869993891598132
funnel,3,5,16,0.8396404145771589,5.2768796945934504e-5,16384,3,9373,0.8949781010553474,0.016869993891598132
funnel,3,5,32,0.8590260562915784,5.069295841697574e-5,16384,3,15638,0.9871028928305768,0.016869993891598132
funnel,3,5,64,0.8622653101770007,4.9322636368032136e-5,16384,3,16046,0.9892682289907013,0.016869993891598132
funnel,3,5,128,0.9477193586932664,6.872501753019122e-5,4096,2,2269,0.9057610321324906,0.016869993891598132
funnel,3,10,1,0.06613871942312101,5.726939765110517e-6,65536,1,32768,0.9289825003318977,0.005955303773386079
funnel,3,10,2,0.06613871942312101,5.726939765110517e-6,65536,1,32768,0.9289825003318977,0.005955303773386079
funnel,3,10,4,0.0936725150142784,7.168370453308759e-6,65536,3,33856,0.9789464837915435,0.005955303773386079
funnel,3,10,8,0.19708073767469414,9.884765862833156e-6,65536,2,36762,0.9592885293602158,0.005955303773386079
funnel,3,10,16,0.2741691862297858,1.439040783213219e-5,65536,5,38637,1.043501720300584,0.0010820462784684474
funnel,3,10,32,0.30044996276520847,2.3512635953681915e-5,32768,7,19614,0.9284537441375289,0.0029867945415169377
funnel,3,10,64,0.29789755217210867,2.534672982934527e-5,32768,10,20825,0.9610183193832829,0.005955303773386079
funnel,3,10,128,0.4162651764486264,3.1180815877052126e-5,32768,12,20444,0.9610183193832829,1.549412338043903e-4
funnel,4,2,1,0.09125371187730359,5.6637821357202744e-6,65536,1,32768,0.9670298390136767,0.03895163848615812
funnel,4,2,2,0.1016836516418154,8.583563953112883e-6,32768,3,22733,0.9670298390136767,0.03895163848615812
funnel,4,2,4,0.1426270665942092,1.213624695145521e-5,32768,6,26899,0.9670298390136767,0.03895163848615812
funnel,4,2,8,0.2506343070082366,2.006954941674577e-5,32768,6,21515,0.9670298390136767,0.03895163848615812
funnel,4,2,16,0.39144688820111206,2.8792021827206415e-5,16384,16,21842,0.9670298390136767,0.03895163848615812
funnel,4,2,32,0.3849321169525303,2.8615921843000436e-5,16384,20,21286,0.9670298390136767,0.03895163848615812
funnel,4,2,64,0.46021030888014036,3.7652406088106716e-5,8192,30,24792,0.9670298390136767,0.03895163848615812
funnel,4,2,128,0.4421387225250185,3.0657237033548945e-5,8192,47,27969,0.9778681852870638,0.03895163848615812
funnel,4,3,1,0.08724831376009254,5.693724748678797e-6,65536,1,32768,0.9781320898556225,0.03895163848615783
funnel,4,3,2,0.08724831376009254,5.693724748678797e-6,65536,1,32768,0.9781320898556225,0.03895163848615783
funnel,4,3,4,0.16106690280268054,1.4555185089915046e-5,32768,6,25893,0.9895997394637476,0.03895163848615783
funnel,4,3,8,0.438934852731632,2.850134282911254e-5,8192,8,8393,0.9726843599648843,0.03895163848615783
funnel,4,3,16,0.3987550202157051,3.67511425427014e-5,8192,15,10406,0.9726843599648843,0.03895163848615783
funnel,4,3,32,0.49774249382258406,2.6102204988498467e-5,16384,10,21544,0.9726843599648843,0.03895163848615783
funnel,4,3,64,0.6110621659026766,4.2873438670709696e-5,8192,16,16661,0.9726843599648843,0.03895163848615783
funnel,4,3,128,0.6321077948141506,3.41102948864247e-5,8192,21,19039,0.99940913885465,0.03895163848615783
funnel,4,5,1,0.02377218737320526,1.3827676289997204e-6,131072,1,65536,0.9726843599648844,0.038951638486158006
funnel,4,5,2,0.03762518375154873,3.5023220911756248e-6,65536,2,34200,0.9726843599648844,0.038951638486158006
funnel,4,5,4,0.3416999409158456,2.084461611917554e-5,32768,4,19466,0.9726843599648844,0.038951638486158006
funnel,4,5,8,0.46516628910071556,2.983360360581111e-5,16384,7,16649,0.994257051376648,0.038951638486158006
funnel,4,5,16,0.4606799947470583,3.58399268533538e-5,16384,8,18626,0.994257051376648,0.012721991060715648
funnel,4,5,32,0.48482204823460984,3.519391757561552e-5,16384,13,20047,0.999265030617174,0.012721991060715648
funnel,4,5,64,0.6501400840475705,6.36158835560785e-5,8192,10,7925,1.0026317564297498,0.038951638486158006
funnel,4,5,128,0.7571017962362353,5.185476349434115e-5,8192,12,8848,0.9764343213410719,0.038951638486158006
funnel,4,10,1,0.06303754719834571,5.3386072905586834e-6,65536,1,32768,0.9762744547762419,0.006230255204589627
funnel,4,10,2,0.08395194987616769,5.635500479606037e-6,65536,2,34900,0.9762744547762419,0.006230255204589627
funnel,4,10,4,0.12012850998827622,1.0873195568181226e-5,32768,4,20272,0.9924736229295279,-0.054990679265966125
funnel,4,10,8,0.15328251100607518,7.806196507004204e-6,65536,5,38753,0.9924736229295279,0.004474519731221157
funnel,4,10,16,0.1978435031359197,1.056519188724625e-5,65536,7,36170,0.9762744547762419,-0.03338281529731308
funnel,4,10,32,0.22033336692478464,1.978694402102188e-5,32768,13,23076,0.9924736229295279,-0.012550406388182417
funnel,4,10,64,0.2542526263450082,1.4650311819575101e-5,32768,12,27991,0.9924736229295279,0.006230255204589627
funnel,4,10,128,0.5067660646869367,3.0239700079093268e-5,32768,6,20645,0.9762744547762419,0.0022511660254415505
funnel,5,2,1,0.10023567051253136,6.908365510108205e-6,65536,1,32768,0.8707323061773764,0.07080131848269665
funnel,5,2,2,0.1255096966168715,7.699352359474831e-6,65536,2,35121,0.8707323061773764,0.07080131848269665
funnel,5,2,4,0.3927308778774708,3.769994769459162e-5,32768,3,19320,0.8707323061773764,0.07080131848269665
funnel,5,2,8,0.4124471974104786,3.924096311813674e-5,16384,9,14401,0.8707323061773764,0.06195669634976912
funnel,5,2,16,0.39789597570566176,3.850382765707705e-5,16384,10,18144,0.8707323061773764,0.07080131848269665
funnel,5,2,32,0.4531942212439616,3.627440279657668e-5,16384,15,22590,0.8707323061773764,0.07080131848269665
funnel,5,2,64,0.46632348171971927,3.1444244653067166e-5,16384,24,24401,0.8707323061773764,0.07080131848269665
funnel,5,2,128,0.48554839710193204,4.3124108252134974e-5,8192,36,24843,0.8707323061773764,0.07080131848269665
funnel,5,3,1,0.049977364430912455,3.978237138158036e-6,65536,1,32768,0.8707323061773764,0.07080131848269665
funnel,5,3,2,0.17856572455733805,1.0954099666948824e-5,65536,2,33107,0.8707323061773764,0.07080131848269665
funnel,5,3,4,0.19730051838767954,1.1070430644716245e-5,65536,3,43012,0.8707323061773764,0.055753631510414604
funnel,5,3,8,0.4014212825484397,2.9314449656703268e-5,32768,6,23404,0.8707323061773764,0.07080131848269665
funnel,5,3,16,0.4221182510353344,2.501384503650339e-5,32768,6,27266,0.8707323061773764,0.07080131848269665
funnel,5,3,32,0.514954283896371,2.9856140465467362e-5,16384,12,21373,0.9379428335456799,0.07080131848269665
funnel,5,3,64,0.5306782940779113,3.302263113547088e-5,16384,18,25148,0.8999880271121156,0.03412228250861129
funnel,5,3,128,0.5367631141594935,2.7814518643642927e-5,16384,23,28042,0.8827190873052719,0.03993564666592349
funnel,5,5,1,0.06308686305288297,4.946647900946899e-6,65536,1,32768,0.919390794275419,0.07080131848269669
funnel,5,5,2,0.0862829670235403,5.6430933121354165e-6,65536,2,34485,0.919390794275419,0.07080131848269669
funnel,5,5,4,0.312283511722093,2.7183370904126924e-5,32768,5,22168,0.9569910894801107,0.016630764039613125
funnel,5,5,8,0.3302546937883853,2.7600183261644595e-5,32768,4,21669,0.9186109079379214,0.016630764039613125
funnel,5,5,16,0.3818374997538761,2.803357693736963e-5,32768,5,22929,0.9186109079379214,0.0017688117262502701
funnel,5,5,32,0.37654104869329913,2.7088332333335963e-5,32768,8,24446,0.9434996556675636,0.0017688117262502701
funnel,5,5,64,0.5574480796829654,5.343198062324195e-5,16384,13,14854,0.92540465282224,0.0390895294569523
funnel,5,5,128,0.6688879043855342,6.576729707774565e-5,8192,10,8979,0.9985091186040338,0.04761829000987903
funnel,5,10,1,0.03445228782720783,2.740318787400331e-6,65536,1,32768,1.0416618300351297,0.038908250497712
funnel,5,10,2,0.08235473664087098,4.1755778104335395e-6,65536,2,34585,0.9859909430443377,0.038908250497712
funnel,5,10,4,0.08873061612341238,4.921157102905083e-6,65536,4,34408,0.9979184547894105,0.038908250497712
funnel,5,10,8,0.13963547482112687,1.3086120060179507e-5,32768,6,23483,0.9583844661298839,0.038908250497712
funnel,5,10,16,0.15248167963527703,1.2333216285020931e-5,32768,10,25195,0.9583844661298839,0.0377771503249683
funnel,5,10,32,0.23301039216661698,2.3094483476343575e-5,32768,8,18821,0.9494407733530681,0.026672222606075775
funnel,5,10,64,0.3425612356067288,2.2201750878525495e-5,32768,11,22780,0.9672667310379716,0.033835025222499614
funnel,5,10,128,0.3865203541049135,2.1658974087013227e-5,32768,12,25992,0.9775262970927144,0.008850421476619564
funnel,6,2,1,0.7577929510166979,5.34064490267383e-5,32768,1,16384,0.8928601514360016,0.22642433492543756
funnel,6,2,2,0.7578649478852149,5.21045724202196e-5,32768,2,16763,0.8928601514360016,0.22160736300440295
funnel,6,2,4,0.7830184632123453,5.210666709398737e-5,16384,5,13716,0.9260899091883248,0.05810849185805691
funnel,6,2,8,0.8578094647803713,7.510207542149594e-5,4096,5,4352,0.9442010035466479,0.06014066203272701
funnel,6,2,16,0.9667077458172925,7.749283573454946e-5,512,3,606,0.91080360171367,0.2095025264093485
funnel,6,2,32,0.9764606329685536,5.564294063009623e-5,1024,7,1739,0.91080360171367,0.19085280473466124
funnel,6,2,64,0.97821406811566,5.332812247715868e-5,512,7,1087,0.91080360171367,0.21488792695225747
funnel,6,2,128,0.9853656183091891,9.38921650738278e-5,256,9,604,0.8928601514360016,0.21473224738360155
funnel,6,3,1,0.6726302746434095,4.2986289163660096e-5,32768,1,16384,0.8928601514360012,0.22124403814855276
funnel,6,3,2,0.6784957832335007,3.8841476265316643e-5,32768,2,22156,0.8928601514360012,0.22124403814855276
funnel,6,3,4,0.686615415715448,3.70659345393376e-5,32768,2,22155,0.8928601514360012,0.22124403814855276
funnel,6,3,8,0.8005812568819125,5.170704423218542e-5,16384,3,10128,0.8928601514360012,0.2212440381948696
funnel,6,3,16,0.8068353960004544,5.643563538293428e-5,8192,4,6640,0.8928601514360012,0.15081635974869376
funnel,6,3,32,0.9609107649233835,6.719213495776089e-5,2048,3,1759,0.8928601514360012,0.20899654343841123
funnel,6,3,64,0.9693951663085505,7.425212021261451e-5,1024,3,1024,0.8928601514360012,0.21441150378854798
funnel,6,3,128,0.9762302241444558,6.872539900792951e-5,1024,5,1069,0.8928601514360012,0.21968784977246678
funnel,6,5,1,0.06233437013439203,4.400518475229653e-6,65536,1,32768,0.8928601514360018,0.04169662572524986
funnel,6,5,2,0.1826912981110456,1.0148485464267498e-5,65536,3,38273,0.8928601514360018,0.0361113939577392
funnel,6,5,4,0.2737740063207006,2.5668915074161802e-5,32768,6,20813,0.8928601514360018,0.04019950373663721
funnel,6,5,8,0.2401772730396927,1.302336947983651e-5,65536,5,39555,0.8928601514360018,0.04169662572524986
funnel,6,5,16,0.432731199618169,2.795327805432679e-5,32768,7,25307,0.9902184805952917,-0.02895009750432232
funnel,6,5,32,0.509666862307878,3.253887389076393e-5,32768,7,24012,0.984531422938245,0.01958759843321448
funnel,6,5,64,0.5603322911685098,3.75444711895323e-5,16384,13,18130,0.9867290740798046,0.04169662572524986
funnel,6,5,128,0.6545698890643041,5.363569302130333e-5,8192,15,10508,0.9902184805952917,0.03735840855320713
funnel,6,10,1,0.08156431145202113,5.704401919492952e-6,65536,1,32768,0.9004991926412265,0.04169662572524991
funnel,6,10,2,0.08373682886944156,5.328931871662057e-6,65536,2,36617,0.9004991926412265,0.04169662572524991
funnel,6,10,4,0.08432938321378303,6.527516306406578e-6,65536,4,33571,0.9004991926412265,0.04169662572524991
funnel,6,10,8,0.1704324540447341,1.0703895656355433e-5,65536,3,34539,0.994418084051387,0.019223588667165125
funnel,6,10,16,0.18131884975909277,9.981583369067515e-6,65536,6,38212,0.9915770453316481,0.020353114724984737
funnel,6,10,32,0.3091341940347567,2.7430768059999444e-5,32768,6,20381,0.9940103385129363,-0.004701526119330142
funnel,6,10,64,0.3341274082724385,2.7246150421322834e-5,32768,8,20100,0.9753969516391633,0.04169662572524991
funnel,6,10,128,0.4430523262533948,2.787415741356547e-5,32768,8,21364,0.9826147267996347,0.04169662572524991
funnel,7,2,1,0.0730811460870453,5.13218140218985e-6,65536,1,32768,0.8057979668649313,0.07630828937395719
funnel,7,2,2,0.883256869772538,8.220338303255303e-5,4096,2,2484,0.8548177500155594,0.07630828937395719
funnel,7,2,4,0.8581159277234366,5.395882624614767e-5,8192,5,5240,0.8597318751721067,0.07630828937395719
funnel,7,2,8,0.8494140417116077,5.949493951507012e-5,4096,5,6011,0.8661974128328637,0.07630828937395719
funnel,7,2,16,0.816972562788375,6.713669010949275e-5,2048,7,4777,0.9248470959310688,0.07630828937395719
funnel,7,2,32,0.8324551132181015,5.746165426079308e-5,2048,14,5689,0.9143115679193589,0.07630828937395719
funnel,7,2,64,0.8586459269850109,6.392619134465427e-5,1024,15,3362,0.8981527319428045,0.07630828937395719
funnel,7,2,128,0.8728673518422763,7.981707207227462e-5,512,20,2748,0.8651533828945577,0.056718531010271515
funnel,7,3,1,0.11724322145026102,8.074378351138889e-6,65536,1,32768,0.8064588493539969,0.006108890886424049
funnel,7,3,2,0.17491622664151107,1.0691647534921689e-5,65536,3,34969,0.8364316564773735,0.006108890886424049
funnel,7,3,4,0.37862323557803484,2.570831812287455e-5,32768,4,20908,0.8152207797269885,0.006108890886424049
funnel,7,3,8,0.5099624946459855,5.071187358796081e-5,16384,5,11985,0.8221454947092273,0.006108890886424049
funnel,7,3,16,0.6371801960779268,4.4409152282764985e-5,16384,7,13814,0.8842344299246315,0.006108890886424049
funnel,7,3,32,0.7322843624734173,4.509416386577758e-5,8192,12,10562,0.9709981183811839,0.006108890886424049
funnel,7,3,64,0.8278954063617506,6.677468204752124e-5,4096,11,5071,0.971023513505597,3.5017592165521004e-4
funnel,7,3,128,0.8708660714442933,7.326940357321732e-5,2048,10,3819,0.8966593335154689,0.0024177756298596692
funnel,7,5,1,0.08158739642504428,6.890353250937897e-6,65536,1,32768,0.9779895119966026,0.006108890886424084
funnel,7,5,2,0.2731286248717789,1.5201232265726894e-5,65536,2,37070,0.99628862409591,0.006108890886424084
funnel,7,5,4,0.2622323657059171,1.4089982429910108e-5,65536,4,38080,0.99628862409591,0.006108890886424084
funnel,7,5,8,0.4208720635044874,3.185549362322293e-5,32768,4,19974,0.99628862409591,0.006108890886424084
funnel,7,5,16,0.5031060700483441,2.536860960211662e-5,32768,7,23534,0.994584704196913,0.006108890886424084
funnel,7,5,32,0.7132194103327909,4.805401127050413e-5,16384,5,13145,0.9779895119966026,0.006108890886424084
funnel,7,5,64,0.9292306832739167,6.914089136933477e-5,2048,5,1512,0.9779895119966026,0.006108890886424084
funnel,7,5,128,0.9038521786128442,4.8752538791330124e-5,4096,7,3502,0.9779895119966026,0.006108890886424084
funnel,7,10,1,0.07868013232965976,5.972796442321737e-6,65536,1,32768,0.9779895119966027,0.00548414249461521
funnel,7,10,2,0.07925698811451276,5.852551999308009e-6,65536,2,31856,0.9779895119966027,0.00548414249461521
funnel,7,10,4,0.16560417246980058,1.11731404737192e-5,65536,2,35067,0.9779895119966027,0.006108890886424384
funnel,7,10,8,0.16050093205627353,8.60861442561478e-6,65536,3,39553,0.9779895119966027,0.006108890886424384
funnel,7,10,16,0.17883186728675066,1.5979762275131204e-5,32768,5,19344,0.99169517085966985,0.006108890886424384
funnel,7,10,32,0.22966811184873434,2.272233419262082e-5,32768,6,18520,0.99169517085966985,0.006108890886424384
funnel,7,10,64,0.29117986887929403,2.362778892772699e-5,32768,8,21644,0.9853859138395349,-0.017140266873256895
funnel,7,10,128,0.3716689394638581,1.920697254764736e-5,32768,11,27071,0.9989853540508353,-0.0036023377612612434
funnel,8,2,1,0.6010343391070826,3.9849554760773565e-5,32768,1,16384,0.9847752895352343,0.6140025325906375
funnel,8,2,2,0.6017495819173839,3.573996146910563e-5,32768,2,18795,0.9847752895352343,0.4145363419953365
funnel,8,2,4,0.6010343391070826,3.9849554760773565e-5,32768,1,16384,0.9847752895352343,0.6140025325906375
funnel,8,2,8,0.8313923866447558,8.177395089647987e-5,4096,5,4242,0.9717125296392858,0.6086587367390501
funnel,8,2,16,0.9572617333607611,8.897767375426469e-5,512,3,507,0.9685834412546719,0.6140025325906375
funnel,8,2,32,0.9338525022715368,5.4793119280471814e-5,2048,8,2480,0.9685834517781073,0.6140025325906375
funnel,8,2,64,0.9595730558550281,9.402019174353793e-5,512,9,1260,0.9853502980948274,0.5881313248015427
funnel,8,2,128,0.9663336958187303,6.230153625086388e-5,512,13,1741,0.9972745525548995,0.5881313248015427
funnel,8,3,1,0.08804220376424585,8.793005946083898e-6,65536,1,32768,1.1144929017360927,0.2549101312282614
funnel,8,3,2,0.1206882870620247,9.875084738375506e-6,65536,3,37463,1.0195100680392601,0.1692609755418877
funnel,8,3,4,0.1334161747757123,9.41882469318589e-6,65536,4,32867,1.0195100680392601,0.1692609755418877
funnel,8,3,8,0.48126637759659496,3.243269561398199e-5,16384,7,17822,0.9685406628209322,0.2549101312282614
funnel,8,3,16,0.5040370265509264,3.4232340431206154e-5,16384,10,19994,0.9685406628209322,0.08436349202823715
funnel,8,3,32,0.6888821328254231,5.7472901776267626e-5,4096,10,6869,0.9706891705935735,0.2549101312282614
funnel,8,3,64,0.7077599289631893,6.78729874923345e-5,4096,15,7921,0.9808713375394723,0.21656372510299382
funnel,8,3,128,0.826974422594774,5.199800688104883e-5,4096,11,9150,1.005528183943047,0.2549101312282614
funnel,8,5,1,0.23109423471266882,1.3009162272564767e-5,65536,1,32768,0.9685406628209314,0.21491788619553098
funnel,8,5,2,0.23167286091153153,1.2221873898987656e-5,65536,2,35894,0.9685406628209314,0.21491788619553098
funnel,8,5,4,0.4510703918382341,2.401466464291291e-5,32768,5,29078,0.9685406628209314,0.21272637024626723
funnel,8,5,8,0.5838937983214957,4.799350838002869e-5,16384,7,13763,0.9769137805125195,0.22440613494091813
funnel,8,5,16,0.5729852568869999,4.039010075640448e-5,16384,5,15659,0.9685406628209314,0.21651642522612122
funnel,8,5,32,0.6319120114397153,3.845064921503827e-5,16384,9,16167,0.9957087279965826,0.09933206601075878
